pose_id,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
932,79.99872,104.05361,36.545517,161.56412,155.41304,121.52313,150.91592
933,59.71328,93.98778,50.86912,78.14166,83.32018,87.90065,102.48796
934,109.77766,82.37275,59.645,72.92885,61.97942,55.835155,86.115234
935,123.27403,115.27065,52.00414,89.87684,85.36119,66.458405,46.64364
936,29.08766,26.723671,43.471535,160.87012,159.92006,111.51088,114.03824
937,70.21684,65.83807,104.29268,152.12543,169.46187,28.273966,40.52438
938,29.847464,119.094574,53.96995,55.571873,50.793064,28.22031,77.264946
939,28.060507,22.101252,38.83811,156.19008,148.99364,153.64154,135.21558
940,81.70004,58.753475,90.01158,145.25021,139.11496,101.08904,117.41809
941,129.06425,128.91736,49.265244,84.774536,84.28213,76.502975,80.89565
942,117.43015,148.23547,44.520996,50.017662,45.84201,143.03024,87.29319
943,55.47716,60.540314,58.81179,93.574135,96.8852,108.6263,98.06342
944,102.396484,143.10512,61.412148,135.21632,100.27522,122.462364,164.45688
945,152.20537,164.0195,74.989204,131.19232,98.789825,140.60045,153.29451
946,80.126175,28.065685,29.023401,167.93736,166.99591,124.48156,167.56535
947,64.82341,35.506912,49.303963,151.70276,160.01825,131.22685,165.75842
948,124.781784,91.856995,67.573845,28.984346,41.89255,78.19666,111.71478
949,22.538177,112.08866,38.893734,151.02667,115.68788,103.17925,107.48617
950,103.89335,115.00078,46.5618,51.817432,53.560715,68.74994,113.94067
951,25.616545,53.773357,87.80399,164.17554,162.9004,118.73969,153.37346
952,71.20692,81.308586,58.13533,64.265495,62.642006,112.94231,31.369905
953,78.36687,44.83276,26.243494,75.85956,67.16507,63.776306,79.679504
954,27.176489,37.25664,16.692865,113.90093,124.659386,144.66223,104.26235
955,41.854538,66.67381,31.121988,68.962135,58.256844,106.37279,95.81881
956,17.663889,57.55706,71.43612,140.85786,147.697,93.57786,45.518543
957,130.5868,97.06186,110.27768,172.49297,174.95946,133.64603,36.22845
958,162.37529,119.702995,102.35921,162.21262,177.89688,105.04577,74.66382
959,134.48042,139.36302,93.873184,66.64134,57.434975,108.502914,108.38557
960,120.786476,132.74265,95.538994,66.760666,65.455734,108.402695,122.1049
961,22.020811,50.09007,35.30454,113.79261,99.69089,176.82411,143.45859
962,31.809416,54.334866,54.50589,158.04297,167.76982,124.64096,144.0759
963,83.199455,64.01566,90.27254,102.18512,89.498146,106.54323,119.3043
964,74.57628,66.47133,97.97315,107.16013,91.888954,101.33356,115.5002
965,112.1464,100.7594,69.11855,133.80548,107.94763,48.52842,88.87983
966,75.343,42.359467,22.139288,165.89975,155.50317,175.6739,122.24311
967,113.48518,105.55876,68.65248,82.845146,77.8559,57.265743,124.55155
968,108.38841,111.238495,69.15332,61.824642,58.148506,130.98087,120.768105
969,44.673008,22.61433,26.164785,104.98766,97.68278,69.01946,101.825035
970,111.92692,126.36267,57.529587,145.30042,135.12645,95.15418,145.14359
971,142.2102,99.6878,77.682755,61.353558,109.54928,100.32532,65.76509
972,142.51991,101.63814,63.200542,67.27836,104.66259,85.56879,59.54427
973,107.62533,124.34033,70.73991,54.341606,48.020557,121.29769,120.25632
974,117.51604,125.10635,60.40846,66.21538,60.2555,88.416504,88.26553
975,71.00496,95.19737,68.39294,57.427734,60.16298,136.78441,119.49798
976,80.19532,89.68637,65.36056,59.275665,63.99059,138.33296,132.14604
977,71.26174,32.483402,80.1715,150.0992,134.83542,151.2363,113.87512
978,105.45425,98.785515,71.19171,75.724434,98.340866,168.4289,171.93881
979,34.884357,61.584896,25.605555,77.47618,68.65408,85.59852,88.39994
980,122.08583,131.64827,85.12386,111.092476,104.05007,71.75298,77.99803
981,111.71064,124.78733,79.85022,102.576675,100.743324,81.69453,87.87032
982,110.29022,91.39759,69.3622,58.180737,45.609146,139.8597,125.67086
983,93.155846,85.373245,65.04754,61.042202,50.457916,137.60846,152.32071
984,58.819706,68.73998,69.54108,81.47274,79.80029,122.58867,80.76481
985,76.72937,79.0972,62.749763,66.67355,66.56245,113.78251,89.01846
986,30.22561,40.530724,56.173298,128.08221,101.90003,155.67152,139.7568
987,121.7666,109.02897,82.48496,46.8224,42.131428,117.09095,89.42483
988,78.4585,103.291405,35.354774,42.277172,38.512554,124.60445,144.68365
989,148.05684,145.64618,94.89553,174.51205,153.06578,118.50976,120.26359
990,156.0677,153.61313,95.938156,178.66792,154.31392,136.21188,141.31808
991,149.16719,132.78532,86.9081,60.9739,55.374596,106.35736,97.983086
992,136.45177,128.50996,80.48452,60.432022,48.19877,120.4895,107.20591
993,165.01595,134.74846,49.250107,156.20297,158.63744,71.12671,138.1542
994,159.63066,153.34927,51.929264,59.68695,68.10219,147.24052,156.98874
995,126.178734,121.51674,59.084534,144.74855,160.64767,175.69565,160.26775
996,122.598816,124.45656,65.795616,144.10336,157.59671,176.75392,162.39886
997,85.605225,129.70372,18.19275,165.29407,135.77853,52.54273,150.86797
998,95.22834,88.06072,79.33335,151.63042,149.57523,96.36637,99.740036
999,137.03523,146.51503,89.05429,47.557182,62.55968,148.98914,106.83291
1000,58.722324,47.952538,85.04111,168.83638,158.41261,116.44211,136.84016
1001,34.57497,71.30276,87.874725,164.08162,157.72906,102.425,131.47108
1002,25.651287,27.246655,65.654625,106.01744,68.91309,118.17121,104.02176
1003,114.72503,113.329926,80.22883,60.320908,51.273685,93.764626,97.74085
1004,19.524904,6.638557,61.432766,159.14964,149.09909,114.74564,97.90393
